chapter_folder,r_file,r_blocks,python_file,python_blocks
Chapter02_Covariation_in_data,Chapter02_Covariation_in_data/R/chapter02.R,22,Chapter02_Covariation_in_data/python/chapter02.py,21
Chapter03_Basic_probability_theory_and_statistical_inference_ch_probability_theory,Chapter03_Basic_probability_theory_and_statistical_inference_ch_probability_theory/R/chapter03.R,9,Chapter03_Basic_probability_theory_and_statistical_inference_ch_probability_theory/python/chapter03.py,13
Chapter04_Correlation_and_inference_about_a_population_ch_population_korrelation,Chapter04_Correlation_and_inference_about_a_population_ch_population_korrelation/R/chapter04.R,2,Chapter04_Correlation_and_inference_about_a_population_ch_population_korrelation/python/chapter04.py,2
Chapter05_The_simple_linear_regression_model,Chapter05_The_simple_linear_regression_model/R/chapter05.R,14,Chapter05_The_simple_linear_regression_model/python/chapter05.py,12
Chapter06_Multiple_Linear_Regression,Chapter06_Multiple_Linear_Regression/R/chapter06.R,25,Chapter06_Multiple_Linear_Regression/python/chapter06.py,16
Chapter07_Nonlinear_functional_form,Chapter07_Nonlinear_functional_form/R/chapter07.R,15,Chapter07_Nonlinear_functional_form/python/chapter07.py,0
Chapter08_Regression_analysis_with_dependent_error_terms_ch_reg_dep_error,Chapter08_Regression_analysis_with_dependent_error_terms_ch_reg_dep_error/R/chapter08.R,4,Chapter08_Regression_analysis_with_dependent_error_terms_ch_reg_dep_error/python/chapter08.py,3
Chapter09_Binary_dependent_variable_ch_logit,Chapter09_Binary_dependent_variable_ch_logit/R/chapter09.R,20,Chapter09_Binary_dependent_variable_ch_logit/python/chapter09.py,18
Chapter10_Prediction_ch_prediction,Chapter10_Prediction_ch_prediction/R/chapter10.R,42,Chapter10_Prediction_ch_prediction/python/chapter10.py,0
Chapter11_Time_series_analysis,Chapter11_Time_series_analysis/R/chapter11.R,18,Chapter11_Time_series_analysis/python/chapter11.py,15
Chapter12_Causal_analyses_ch_causality,Chapter12_Causal_analyses_ch_causality/R/chapter12.R,6,Chapter12_Causal_analyses_ch_causality/python/chapter12.py,6
Chapter13_Nonparametric_Regression_chapter_nonparametric,Chapter13_Nonparametric_Regression_chapter_nonparametric/R/chapter13.R,0,Chapter13_Nonparametric_Regression_chapter_nonparametric/python/chapter13.py,0
